method,workflow,dataset,budget_iter,budget,total_candidates,total_emissions,time,auc,recall,memory
join,top4,CORA,3,188673.0,1882.0,1882.0,281.0830411911011,4.7566470892036e-05,4.7701578922262325e-05,33.76170000000002
join,top4,CORA,7,440237.0,1882.0,1882.0,296.68106389045715,4.7566470892036e-05,4.7701578922262325e-05,34.05859999999996
join,top4,CORA,2,125782.0,1882.0,1882.0,228.7433514595032,4.7566470892036e-05,4.7701578922262325e-05,34.69920000000002
join,top4,CORA,9,566019.0,1882.0,1882.0,278.32777976989746,4.7566470892036e-05,4.7701578922262325e-05,33.98439999999994
join,top4,CORA,10,628910.0,1882.0,1882.0,283.35259556770325,4.7566470892036e-05,4.7701578922262325e-05,34.988300000000095
join,top4,CORA,1,62891.0,1882.0,1882.0,278.5415372848511,4.7566470892036e-05,4.7701578922262325e-05,33.95309999999995
pesm,top1,ABTBUY,3,3255.0,2196.0,2196.0,0.515601396560669,0.3904750717883033,0.5990783410138248,22.0
pesm,top1,ABTBUY,7,7595.0,2202.0,2202.0,0.5285491943359375,0.3927041257104347,0.6027649769585254,21.906200000000013
pesm,top1,ABTBUY,8,8680.0,2191.0,2191.0,0.5341339111328125,0.3897120656597908,0.5972350230414747,22.15229999999997
pesm,top1,ABTBUY,4,4340.0,2201.0,2201.0,0.5774545669555664,0.39177161943269,0.6,21.875
pesm,top1,ABTBUY,1,1085.0,1085.0,1085.0,0.5432305335998535,0.2111464724902614,0.488479262672811,21.77730000000008
pesm,top1,ABTBUY,6,6510.0,2195.0,2195.0,0.5749800205230713,0.3933511285705848,0.6046082949308755,21.68360000000007
pesm,top1,ABTBUY,2,2170.0,2170.0,2170.0,0.5776214599609375,0.3891290089087989,0.6036866359447005,21.8945
pesm,top1,ABTBUY,9,9765.0,2196.0,2196.0,0.5707125663757324,0.3879752238599331,0.5944700460829493,22.367200000000025
pesm,top1,ABTBUY,5,5425.0,2195.0,2195.0,0.5464622974395752,0.3890160576834309,0.6,21.74609999999996
